epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.4413,2.11699,3.72303,2.26734,0.40168,0.04661,0.03188,0.0104,2.72334,3.85745,3.00737,0.000331481,0.000331481,0.000331481
2,97.8782,2.04922,3.25563,2.21241,0.20609,0.16342,0.03537,0.01107,2.94195,6.05554,3.36842,0.000651651,0.000651651,0.000651651
3,143.262,1.98199,3.13657,2.17826,0.7662,0.10196,0.11215,0.0368,2.579,3.79347,3.0277,0.000958621,0.000958621,0.000958621
4,187.374,1.92478,2.98415,2.13394,0.32275,0.26497,0.12441,0.04697,2.34934,3.05349,2.77058,0.0009406,0.0009406,0.0009406
5,232.093,1.90048,2.8943,2.11187,0.52564,0.26884,0.22677,0.08643,2.23322,2.93301,2.74386,0.0009208,0.0009208,0.0009208
6,276.211,1.86483,2.8278,2.1168,0.25881,0.36919,0.21328,0.06568,2.23916,2.82697,2.5616,0.000901,0.000901,0.000901
7,321.218,1.86111,2.82658,2.08265,0.30053,0.337,0.22796,0.08383,2.1755,2.86614,2.62231,0.0008812,0.0008812,0.0008812
8,366.33,1.825,2.73233,2.06791,0.58017,0.28448,0.26961,0.10702,2.08544,2.91046,2.55496,0.0008614,0.0008614,0.0008614
9,410.917,1.80005,2.699,2.04308,0.27485,0.38943,0.27154,0.11412,2.03459,2.67224,2.51541,0.0008416,0.0008416,0.0008416
10,455.531,1.78947,2.68103,2.03365,0.39432,0.40313,0.31274,0.1236,2.03584,2.82649,2.48002,0.0008218,0.0008218,0.0008218
11,501.421,1.80793,2.68172,2.02121,0.37889,0.35337,0.32482,0.12791,2.01259,2.50726,2.44667,0.000802,0.000802,0.000802
12,546.972,1.78017,2.61345,2.00116,0.37234,0.38325,0.33803,0.13463,1.98477,2.50162,2.38721,0.0007822,0.0007822,0.0007822
13,591.963,1.76236,2.62333,1.99198,0.31108,0.3658,0.34332,0.13475,1.90242,2.48107,2.38501,0.0007624,0.0007624,0.0007624
14,636.899,1.74532,2.55639,1.98168,0.32909,0.40185,0.36863,0.13831,1.98397,2.64017,2.44279,0.0007426,0.0007426,0.0007426
15,683.177,1.74529,2.60131,1.98726,0.38702,0.43189,0.37412,0.14802,1.96775,2.4701,2.41246,0.0007228,0.0007228,0.0007228
