epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.1763,2.18831,4.0669,2.2848,0.64539,0.17337,0.11839,0.04496,2.56292,3.41849,2.8246,0.000331481,0.000331481,0.000331481
2,105.156,2.09388,2.98214,2.23214,0.11596,0.23911,0.07332,0.02175,2.59998,3.12119,2.89791,0.000658233,0.000658233,0.000658233
3,155.529,2.02351,2.95667,2.21396,0.28222,0.2403,0.11935,0.0336,2.45743,3.07796,2.76349,0.000978385,0.000978385,0.000978385
4,204.713,1.99011,2.88216,2.19903,0.35174,0.20755,0.18961,0.0745,2.51675,2.80222,2.76603,0.0009703,0.0009703,0.0009703
5,254.491,1.9587,2.79858,2.14375,0.56713,0.21662,0.22152,0.09441,2.20295,16.5299,2.63418,0.0009604,0.0009604,0.0009604
6,304.49,1.92007,2.76296,2.14993,0.22738,0.26403,0.13841,0.04428,2.34882,3.22652,2.70975,0.0009505,0.0009505,0.0009505
7,353.482,1.91282,2.7961,2.11881,0.62585,0.24094,0.25616,0.09125,2.21531,2.69416,2.53992,0.0009406,0.0009406,0.0009406
8,403.216,1.86321,2.71961,2.09872,0.26151,0.34832,0.25449,0.09535,2.23938,2.79852,2.63818,0.0009307,0.0009307,0.0009307
9,453.351,1.84908,2.72256,2.09606,0.31543,0.3343,0.23228,0.08679,2.26987,2.92055,2.68256,0.0009208,0.0009208,0.0009208
10,503.216,1.82378,2.69333,2.06435,0.42898,0.34552,0.26835,0.10444,2.04318,2.5893,2.45692,0.0009109,0.0009109,0.0009109
11,552.717,1.8254,2.67755,2.0446,0.31448,0.35776,0.29371,0.11654,2.01994,2.58633,2.44748,0.000901,0.000901,0.000901
12,603.107,1.8138,2.64779,2.05446,0.67532,0.28156,0.33967,0.13149,2.01635,2.48236,2.44983,0.0008911,0.0008911,0.0008911
13,653.239,1.79766,2.63028,2.03915,0.29566,0.44288,0.32983,0.12889,2.02243,2.52053,2.50154,0.0008812,0.0008812,0.0008812
